Player,DOB,Quarter
Joe Bachie,2/26/1998,1
Markus Bailey,3/7/1997,1
Jessie Bates III,2/26/1997,1
Alex Cappa,1/27/1995,1
Jackson Carman,1/22/2000,1
Ja'Marr Chase,3/1/2000,1
Jalen Davis,2/2/1996,1
Tee Higgins,1/18/1999,1
Trey Hill,1/23/2000,1
Mike Hilton,3/9/1994,1
Ted Karras,3/15/1993,1
Michael Thomas,3/17/1990,1
Desmond Noel,2/12/1998,1
Zachary Carter,4/7/1999,2
Drue Chrisman,6/30/1997,2
Tre Flowers,6/2/1995,2
Jeff Gunter,5/31/1999,2
B.J. Hill,4/20/1995,2
Sam Hubbard,6/29/1995,2
Joseph Ossai,4/13/2000,2
Germaine Pratt,5/21/1996,2
D'Ante Smith,6/9/1998,2
Trent Taylor,4/30/1994,2
Josh Tupou,5/2/1994,2
Tycen Anderson,6/13/1999,2
Chidobe Awuzie,5/24/1995,2
Ben Brown,5/19/1998,2
Drew Sample,4/16/1996,2
Cal Adomitis,7/9/1998,3
Brandon Allen,9/5/1992,3
Eli Apple,8/9/1995,3
Devin Asiasi,8/14/1997,3
Akeem Davis-Gaither,9/21/1997,3
Daxton Hill,9/29/2000,3
Hayden Hurst,8/24/1993,3
Clay Johnston,8/8/1996,3
Evan McPherson,7/21/1999,3
Joe Mixon,7/24/1996,3
Stanley Morgan Jr.,9/7/1996,3
Samaje Perine,9/16/1995,3
D.J. Reader,7/1/1994,3
Cameron Sample,9/20/1999,3
Max Scharping,8/10/1996,3
Jay Tufele,7/25/1999,3
Cordell Volson,7/20/1998,3
Logan Wilson,7/8/1996,3
Brandon Wilson,7/27/1994,3
La'el Collins,7/26/1993,3
Clark Harris,7/10/1984,3
Hakeem Adeniji,12/8/1997,4
Vonn Bell,12/12/1994,4
Tyler Boyd,11/15/1994,4
Joe Burrow,12/10/1996,4
Chris Evans,10/5/1997,4
Trey Hendrickson,12/5/1994,4
Trenton Irwin,12/10/1995,4
Cam Taylor-Britt,10/15/1999,4
Mitchell Wilcox,11/7/1996,4
Jonah Williams,11/17/1997,4
Trayveon Williams,10/18/1997,4
