Name,DoB,Quarter
Adbert Alzolay,3/1/1995,1
Mark Leiter Jr.,3/13/1991,1
Keegan Thompson,3/13/1995,1
Anthony Kay,3/21/1995,1
Tucker Barnhart,1/7/1991,1
Nick Madrigal,3/5/1997,1
Miguel Amaya,3/9/1999,1
Dansby Swanson,2/11/1994,1
Michael Rucker,4/27/1994,2
Marcus Stroman,5/1/1991,2
Drew Smyly,6/13/1989,2
Caleb Kilian,6/2/1997,2
Brad Boxberger,5/27/1988,2
Zach McKinstry,4/29/1995,2
Nico Hoerner,5/13/1997,2
Alexander Canario,5/7/2000,2
Christopher Morel,6/24/1999,2
Manuel Rodríguez,8/6/1996,3
Justin Steele,7/11/1995,3
Javier Assad,7/30/1997,3
Ethan Roberts,7/4/1997,3
Codi Heuer,7/3/1996,3
Ben Brown,9/9/1999,3
Yan Gomes,7/19/1987,3
Seiya Suzuki,8/18/1994,3
Patrick Wisdom,8/27/1991,3
Kevin Alcántara,7/12/2002,3
Cody Bellinger,7/13/1995,3
Ian Happ,8/12/1994,3
Ryan Jensen,11/23/1997,4
Rowan Wick,11/9/1992,4
Kyle Hendricks,12/7/1989,4
Jeremiah Estrada,11/1/1998,4
Jameson Taillon,11/18/1991,4
Hayden Wesneski,12/5/1997,4
Adrian Sampson,10/7/1991,4
Brandon Hughes,12/1/1995,4
Miles Mastrobuoni,10/31/1995,4
Nelson Velázquez,12/26/1998,4
Brennen Davis,11/2/1999,4
