Name,DoB,Quarter
Zack Kelly,3/3/1995,1
Wyatt Mills,1/25/1995,1
Nick Pivetta,2/14/1993,1
Kaleb Ort,2/5/1992,1
Josh Taylor,3/2/1993,1
John Schreiber,3/5/1994,1
Connor Seabold,1/24/1996,1
Chris Sale,3/30/1989,1
Triston Casas,1/15/2000,1
Rob Refsnyder,3/26/1991,1
Reese McGuire,3/2/1995,1
Tanner Houck,6/29/1996,2
Matt Barnes,6/17/1990,2
Kutter Crawford,4/1/1996,2
Josh Winckowski,6/28/1998,2
Garrett Whitlock,6/11/1996,2
Brayan Bello,5/17/1999,2
Chris Murphy,6/5/1998,2
Bryan Mata,5/3/1999,2
Chris Martin,6/2/1986,2
Bobby Dalbec,6/29/1995,2
Wilyer Abreu,6/24/1999,2
Christian Arroyo,5/30/1995,2
Connor Wong,5/19/1996,2
Alex Verdugo,5/15/1996,2
Ryan Brasier,8/26/1987,3
Kenley Jansen,9/30/1987,3
Franklin German,9/22/1997,3
Brandon Walter,9/8/1996,3
Enrique Hernández,8/24/1991,3
Ceddanne Rafaela,9/18/2000,3
Masataka Yoshida,7/15/1993,3
Jarren Duran,9/5/1996,3
David Hamilton,9/29/1997,3
Joely Rodríguez,11/14/1991,4
James Paxton,11/6/1988,4
Darwinzon Hernandez,12/17/1996,4
Trevor Story,11/15/1992,4
Rafael Devers,10/24/1996,4
Enmanuel Valdez,12/28/1998,4
